# data_id,Time(s),FLOP(M),memory(M)
4,0.37,15235.12,597.20
8,0.61,24826.85,794.01
12,0.86,32639.02,959.56
16,1.00,39419.43,1169.73
20,1.19,45482.56,1387.22
24,1.38,51029.60,1402.21
28,1.44,56174.27,1515.22
32,1.60,60987.72,1551.79
36,1.80,65532.52,1661.28
40,1.97,69836.14,1845.67
44,2.11,73948.09,2008.62
48,2.27,77892.39,1909.05
52,2.34,81655.68,1934.36
56,2.82,85287.61,2005.68
60,3.16,88788.29,2138.95
64,3.32,92181.87,2304.02
68,3.49,95464.10,2337.00
72,3.63,98658.50,2565.12
76,3.35,101754.08,2649.75
80,4.22,104782.10,2530.95
84,4.25,107737.01,2434.30
88,4.26,110616.97,2592.15
92,4.37,113431.85,2734.93
96,4.56,116199.48,2660.17
100,4.57,118901.11,2887.33
