# data_id,k_KNN,IOU(%)
5,3,12.11
8,3,21.31
11,3,32.40
14,3,43.44
17,3,50.80
20,3,54.19
23,3,56.94
27,3,59.46
33,3,62.63
42,3,66.12
60,3,69.13
