# data_id,k_KNN,IOU(%)
5,1,12.07
8,1,21.22
11,1,32.30
14,1,43.33
17,1,50.73
20,1,54.13
23,1,56.91
27,1,59.43
33,1,62.59
42,1,66.07
60,1,69.08
