# data_id,Time(s),FLOP(M),memory(M)
4,0.29,13820.87,543.24
8,0.51,22436.77,757.37
12,0.69,29546.04,851.37
16,0.83,35695.36,1462.91
20,0.98,41143.60,1312.74
24,1.14,46168.44,1202.54
28,1.27,50822.69,1288.87
32,1.42,55144.25,1370.04
36,1.56,59216.01,1516.46
40,1.80,63086.20,1659.10
44,1.87,66794.20,1781.27
48,1.99,70372.69,1923.50
52,2.11,73774.64,1630.92
56,2.24,77043.15,1748.96
60,2.30,80203.22,1772.74
64,2.43,83266.20,1920.92
68,2.50,86221.15,2570.50
72,2.60,89099.35,2683.97
76,2.73,91891.19,2198.22
80,2.95,94590.79,2502.35
84,2.99,97250.69,2164.56
88,2.98,99846.36,2305.40
92,3.13,102362.96,2672.55
96,3.20,104849.21,2793.89
100,3.28,107287.31,2684.28
