# data_id,Time(s),FLOP(M),memory(M)
4,0.32,13820.87,541.59
8,0.51,22436.77,755.74
12,0.70,29546.04,849.75
16,0.87,35695.36,1461.22
20,1.02,41143.60,1311.04
24,1.23,46168.44,1200.88
28,1.31,50822.69,1287.24
32,1.48,55144.25,1368.38
36,1.53,59216.01,1514.80
40,1.65,63086.20,1657.46
44,1.86,66794.20,1779.68
48,1.91,70372.69,1921.85
52,2.07,73774.64,1629.27
56,2.18,77043.15,1747.30
60,2.29,80203.22,1771.07
64,2.51,83266.20,1919.29
68,2.45,86221.15,2568.85
72,2.50,89099.35,2682.30
76,2.89,91891.19,2196.62
80,2.76,94590.79,2500.64
84,2.88,97250.69,2162.87
88,2.97,99846.36,2303.74
92,3.07,102362.96,2670.89
96,3.12,104849.21,2792.20
100,3.25,107287.31,2682.58
