# data_id,time(s),memory(MB)
4,0.772851,0.175229
8,1.16856,0.256195
12,1.4192,0.368103
16,1.65717,0.509851
20,1.72977,0.660597
24,1.96223,0.822658
28,2.30832,1.00077
32,2.45305,1.20062
36,2.69915,1.37918
40,2.9084,1.59336
44,3.05907,1.8456
48,3.21804,2.12261
52,3.40361,2.40989
56,3.51807,2.73346
60,3.74342,3.05336
64,3.90724,3.36437
68,4.00333,3.67022
72,4.10671,3.99451
76,4.32585,4.29359
80,4.47119,4.64527
84,4.5567,5.03021
88,4.72929,5.45567
92,4.82949,5.86876
96,4.91865,6.28474
100,5.03106,6.70457
