# data_id,k_KNN,IOU(%)
4,4,10.24
8,4,16.43
12,4,30.49
16,4,46.52
20,4,54.23
24,4,57.94
28,4,60.57
32,4,62.64
37,4,64.52
41,4,65.98
45,4,66.93
50,4,67.80
55,4,68.77
60,4,69.61
63,4,69.76
69,4,70.42
75,4,70.58
81,4,70.93
87,4,70.93
92,4,71.07
97,4,71.22
