# data_id,k_KNN,IOU(%)
4,2,10.05
8,2,16.20
12,2,30.09
16,2,46.13
20,2,53.94
24,2,57.69
28,2,60.36
32,2,62.45
37,2,64.34
41,2,65.83
45,2,66.79
50,2,67.69
55,2,68.68
60,2,69.52
63,2,69.68
69,2,70.37
75,2,70.53
81,2,70.90
87,2,70.91
92,2,71.06
97,2,71.21
