# data_id,k_KNN,IOU(%)
4,4,10.57
8,4,18.84
12,4,33.11
16,4,44.04
20,4,50.76
24,4,55.21
28,4,58.35
32,4,60.58
36,4,62.52
40,4,63.96
44,4,65.19
48,4,66.19
52,4,67.31
56,4,68.04
60,4,68.78
64,4,69.25
68,4,69.68
72,4,69.99
76,4,70.21
80,4,70.48
84,4,70.68
88,4,70.82
92,4,71.01
96,4,71.06
100,4,71.18
