# data_id,k_KNN,IOU(%)
5,5,12.15
8,5,21.36
11,5,32.43
14,5,43.46
17,5,50.79
20,5,54.15
23,5,56.92
27,5,59.44
33,5,62.62
42,5,66.12
60,5,69.14
