# data_id,Time(s),FLOP(M),memory(M)
4,0.30,13820.87,535.57
8,0.51,22436.77,749.73
12,0.68,29546.04,843.67
16,0.82,35695.36,1455.22
20,1.02,41143.60,1305.05
24,1.20,46168.44,1194.85
28,1.33,50822.69,1281.19
32,1.55,55144.25,1362.33
36,1.59,59216.01,1508.77
40,1.67,63086.20,1651.43
44,1.78,66794.20,1773.58
48,2.01,70372.69,1915.71
52,2.21,73774.64,1623.22
56,2.20,77043.15,1741.26
60,2.32,80203.22,1765.02
64,2.49,83266.20,1913.23
68,2.59,86221.15,2562.81
72,2.62,89099.35,2676.28
76,2.64,91891.19,2190.56
80,2.72,94590.79,2494.66
84,2.85,97250.69,2156.89
88,2.94,99846.36,2297.70
92,3.01,102362.96,2664.86
96,3.10,104849.21,2786.20
100,3.18,107287.31,2676.59
