# data_id,Time(s),FLOP(M),memory(M)
4,0.33,15200.02,612.13
8,0.57,24679.54,1042.46
12,0.80,32544.37,881.91
16,1.01,39337.26,1007.45
20,1.20,45325.38,1226.91
24,1.37,50844.29,1354.32
28,1.52,55950.47,1782.19
32,1.76,60708.01,1750.10
36,1.85,65197.34,2170.32
40,1.97,69447.52,1855.05
44,2.12,73529.35,2295.46
48,2.27,77476.65,2575.64
52,2.40,81208.24,2732.73
56,2.53,84809.88,2634.05
60,2.66,88291.50,2706.63
64,2.79,91666.51,2585.52
68,2.94,94919.48,2915.15
72,2.92,98103.94,2372.62
76,3.35,101164.65,2484.30
80,3.46,104151.00,2573.72
84,3.50,107079.40,2879.27
88,3.62,109930.89,2914.22
92,3.84,112724.14,3082.24
96,4.14,115463.45,3167.26
100,4.21,118140.82,2710.37
