# data_id,Time(s),FLOP(M),memory(M)
4,0.30,13820.87,537.88
8,0.51,22436.77,752.02
12,0.68,29546.04,845.93
16,0.83,35695.36,1457.57
20,0.97,41143.60,1307.28
24,1.16,46168.44,1197.09
28,1.28,50822.69,1283.45
32,1.43,55144.25,1364.58
36,1.54,59216.01,1511.03
40,1.64,63086.20,1653.66
44,1.77,66794.20,1775.83
48,1.90,70372.69,1917.93
52,2.05,73774.64,1625.49
56,2.15,77043.15,1743.48
60,2.28,80203.22,1767.30
64,2.36,83266.20,1915.50
68,2.46,86221.15,2565.11
72,2.52,89099.35,2678.56
76,2.70,91891.19,2192.84
80,2.77,94590.79,2496.85
84,2.88,97250.69,2159.12
88,3.05,99846.36,2299.98
92,3.07,102362.96,2667.14
96,3.17,104849.21,2788.44
100,3.21,107287.31,2678.77
