# data_id,Time(s),FLOP(M),memory(M)
4,0.42,13820.87,543.40
8,0.63,22436.77,757.51
12,0.86,29546.04,851.56
16,1.02,35695.36,1463.08
20,1.19,41143.60,1312.87
24,1.37,46168.44,1202.70
28,1.59,50822.69,1289.03
32,1.68,55144.25,1370.18
36,1.88,59216.01,1516.62
40,2.07,63086.20,1659.28
44,2.15,66794.20,1781.43
48,2.27,70372.69,1923.53
52,2.47,73774.64,1631.07
56,2.63,77043.15,1749.11
60,2.78,80203.22,1772.87
64,2.90,83266.20,1921.09
68,3.04,86221.15,2570.66
72,3.23,89099.35,2684.17
76,3.17,91891.19,2188.79
80,3.32,94590.79,2484.23
84,3.46,97250.69,2145.46
88,3.51,99846.36,2286.29
92,3.66,102362.96,2653.46
96,3.92,104849.21,2774.79
100,3.77,107287.31,2665.10
