# data_id,Time(s),FLOP(M),memory(M)
4,0.30,13820.87,538.92
8,0.49,22436.77,753.06
12,0.68,29546.04,847.08
16,0.82,35695.36,1458.59
20,0.97,41143.60,1308.41
24,1.12,46168.44,1198.18
28,1.26,50822.69,1284.55
32,1.40,55144.25,1365.69
36,1.54,59216.01,1512.11
40,1.67,63086.20,1654.77
44,1.91,66794.20,1776.94
48,1.97,70372.69,1919.00
52,2.02,73774.64,1626.55
56,2.12,77043.15,1744.62
60,2.23,80203.22,1768.37
64,2.33,83266.20,1916.60
68,2.42,86221.15,2566.17
72,2.51,89099.35,2679.62
76,2.64,91891.19,2193.91
80,2.73,94590.79,2497.96
84,2.84,97250.69,2160.24
88,2.92,99846.36,2301.07
92,3.03,102362.96,2668.24
96,3.28,104849.21,2789.57
100,3.43,107287.31,2679.89
