# data_id,Time(s),FLOP(M),memory(M)
4,0.30,13820.87,570.25
8,0.53,22436.77,737.27
12,0.77,29546.04,823.18
16,0.95,35695.36,925.12
20,1.11,41143.60,1008.01
24,1.21,46168.44,1657.58
28,1.40,50822.69,1365.15
32,1.57,55144.25,1527.17
36,1.72,59216.01,1377.63
40,1.80,63086.20,1793.85
44,2.02,66794.20,1803.90
48,2.09,70372.69,1869.44
52,2.17,73774.64,1855.13
56,2.25,77043.15,1697.88
60,2.35,80203.22,2050.65
64,2.52,83266.20,2051.29
68,2.70,86221.15,1880.47
72,2.95,89099.35,2213.43
76,2.90,91891.19,2561.85
80,3.04,94590.79,2470.01
84,3.18,97250.69,2786.31
88,3.29,99846.36,2670.54
92,3.30,102362.96,2562.65
96,3.41,104849.21,2421.77
100,3.36,107287.31,2656.47
