# data_id,Time(s),FLOP(M),memory(M)
4,0.30,13820.87,534.92
8,0.52,22436.77,749.12
12,0.68,29546.04,843.08
16,0.83,35695.36,1454.84
20,1.07,41143.60,1304.44
24,1.27,46168.44,1194.22
28,1.36,50822.69,1280.57
32,1.46,55144.25,1361.70
36,1.62,59216.01,1508.13
40,1.73,63086.20,1650.77
44,1.84,66794.20,1772.99
48,1.99,70372.69,1915.16
52,2.06,73774.64,1622.62
56,2.20,77043.15,1740.68
60,2.33,80203.22,1764.40
64,2.49,83266.20,1912.66
68,2.48,86221.15,2562.19
72,2.60,89099.35,2675.67
76,2.82,91891.19,2190.04
80,2.91,94590.79,2494.03
84,3.00,97250.69,2156.27
88,3.03,99846.36,2297.15
92,3.00,102362.96,2664.30
96,3.07,104849.21,2785.66
100,3.17,107287.31,2675.99
