# data_id,time(s),memory(MB)
4,0.720506,0.175641
8,1.10543,0.25591
12,1.34441,0.369525
16,1.61872,0.508284
20,1.90492,0.658379
24,2.13961,0.821263
28,2.39687,1.0029
32,2.49433,1.194
36,2.5705,1.3754
40,2.80926,1.591
44,2.8965,1.84463
48,3.03831,2.10709
52,3.17239,2.40132
56,3.37353,2.7165
60,3.50103,3.04111
64,3.63634,3.35516
68,3.87842,3.67268
72,3.96308,3.99705
76,4.07359,4.30038
80,4.19883,4.64915
84,4.33467,5.03444
88,4.47131,5.46199
92,4.58887,5.88048
96,4.65342,6.28933
100,4.8297,6.71066
