# data_id,Time(s),FLOP(M),memory(M)
4,0.44,15235.12,603.29
8,0.73,24826.85,800.20
12,1.00,32639.02,965.83
16,1.23,39419.43,1169.08
20,1.43,45482.56,1371.49
24,1.65,51029.60,1333.45
28,1.82,56174.27,1404.02
32,2.03,60987.72,1440.50
36,2.22,65532.52,1549.88
40,2.39,69836.14,1734.04
44,2.54,73948.09,1896.87
48,2.73,77892.39,1797.29
52,2.89,81655.68,1822.62
56,2.99,85287.61,1925.28
60,3.17,88788.29,2139.01
64,3.29,92181.87,2304.05
68,2.80,95464.10,2337.05
72,2.90,98658.50,2565.10
76,2.98,101754.08,2649.89
80,3.08,104782.10,2531.49
84,3.20,107737.01,2435.25
88,3.31,110616.97,2592.53
92,3.40,113431.85,2735.90
96,3.50,116199.48,2660.15
100,3.58,118901.11,2887.97
