# data_id,k_KNN,IOU(%)
5,2,11.96
8,2,20.89
11,2,31.67
14,2,42.58
17,2,50.06
20,2,53.50
23,2,56.34
27,2,58.96
33,2,62.21
42,2,65.84
60,2,68.98
