# data_id,Time(s),FLOP(M),memory(M)
4,0.30,13820.87,534.57
8,0.52,22436.77,748.73
12,0.70,29546.04,842.67
16,0.85,35695.36,1454.26
20,1.00,41143.60,1303.93
24,1.24,46168.44,1193.76
28,1.28,50822.69,1280.14
32,1.40,55144.25,1361.25
36,1.52,59216.01,1507.67
40,1.64,63086.20,1650.33
44,1.76,66794.20,1772.54
48,1.87,70372.69,1914.72
52,2.01,73774.64,1622.16
56,2.11,77043.15,1740.23
60,2.22,80203.22,1763.95
64,2.33,83266.20,1912.18
68,2.41,86221.15,2561.73
72,2.51,89099.35,2675.16
76,2.63,91891.19,2189.51
80,2.72,94590.79,2493.53
84,2.84,97250.69,2155.84
88,2.93,99846.36,2296.62
92,3.01,102362.96,2663.77
96,3.09,104849.21,2785.12
100,3.19,107287.31,2675.50
