# data_id,Time(s),FLOP(M),memory(M)
5,0.43,20216.77,609.01
8,0.58,27899.00,803.46
11,0.73,34293.07,927.59
14,0.90,40172.59,1002.89
17,1.04,45725.73,1114.63
20,1.14,49331.61,1260.27
23,1.28,53700.05,1279.64
27,1.45,59162.64,1616.69
33,1.63,66281.33,1896.76
42,1.95,76129.63,2327.49
60,2.64,91446.77,2344.52
