# data_id,Time(s),FLOP(M),memory(M)
4,0.36,13820.87,567.59
8,0.54,22436.77,734.60
12,0.68,29546.04,820.60
16,0.89,35695.36,922.56
20,1.13,41143.60,1005.47
24,1.24,46168.44,1654.93
28,1.49,50822.69,1362.65
32,1.46,55144.25,1524.67
36,1.59,59216.01,1375.04
40,1.70,63086.20,1791.14
44,1.83,66794.20,1801.38
48,2.05,70372.69,1866.87
52,2.22,73774.64,1852.59
56,2.38,77043.15,1695.31
60,2.39,80203.22,2048.03
64,2.47,83266.20,2048.65
68,2.59,86221.15,1877.88
72,2.66,89099.35,2210.80
76,2.74,91891.19,2559.29
80,2.87,94590.79,2467.32
84,3.14,97250.69,2775.43
88,3.15,99846.36,2645.87
92,3.09,102362.96,2537.19
96,3.30,104849.21,2396.22
100,3.45,107287.31,2631.05
