# data_id,Time(s),FLOP(M),memory(M)
4,0.39,13820.87,537.46
8,0.66,22436.77,751.57
12,0.84,29546.04,845.55
16,1.04,35695.36,1456.93
20,1.21,41143.60,1306.83
24,1.41,46168.44,1196.66
28,1.53,50822.69,1283.02
32,1.73,55144.25,1364.16
36,1.83,59216.01,1510.59
40,1.97,63086.20,1653.26
44,2.15,66794.20,1775.40
48,2.30,70372.69,1917.56
52,2.46,73774.64,1625.04
56,2.60,77043.15,1743.09
60,2.72,80203.22,1766.85
64,2.50,83266.20,1915.07
68,2.41,86221.15,2564.64
72,2.50,89099.35,2677.89
76,2.62,91891.19,2191.96
80,2.70,94590.79,2496.04
84,2.82,97250.69,2158.26
88,2.91,99846.36,2299.09
92,2.99,102362.96,2666.26
96,3.07,104849.21,2787.59
100,3.17,107287.31,2677.98
