# data_id,Time(s),FLOP(M),memory(M)
4,0.32,13820.87,540.61
8,0.54,22436.77,754.76
12,0.70,29546.04,848.81
16,0.90,35695.36,1460.31
20,1.05,41143.60,1310.13
24,1.21,46168.44,1199.93
28,1.44,50822.69,1286.27
32,1.53,55144.25,1367.43
36,1.63,59216.01,1513.85
40,1.74,63086.20,1656.49
44,1.88,66794.20,1778.66
48,1.95,70372.69,1920.72
52,2.12,73774.64,1628.29
56,2.28,77043.15,1746.34
60,2.33,80203.22,1770.11
64,2.46,83266.20,1918.32
68,2.58,86221.15,2567.89
72,2.55,89099.35,2681.37
76,2.66,91891.19,2195.62
80,2.75,94590.79,2499.69
84,2.90,97250.69,2161.96
88,2.96,99846.36,2302.79
92,3.06,102362.96,2669.95
96,3.13,104849.21,2791.28
100,3.22,107287.31,2681.59
