# data_id,Time(s),FLOP(M),memory(M)
4,0.31,13820.87,578.39
8,0.52,22436.77,746.36
12,0.74,29546.04,888.47
16,0.86,35695.36,1115.93
20,1.00,41143.60,1267.81
24,1.15,46168.44,1290.70
28,1.26,50822.69,1309.77
32,1.46,55144.25,1489.53
36,1.62,59216.01,1525.50
40,1.78,63086.20,1378.02
44,1.86,66794.20,1665.38
48,1.99,70372.69,1515.94
52,2.15,73774.64,1683.86
56,2.33,77043.15,2306.14
60,2.37,80203.22,1813.06
64,2.62,83266.20,1752.74
68,2.53,86221.15,1890.85
72,2.51,89099.35,2192.10
76,2.62,91891.19,2083.56
80,2.70,94590.79,2431.47
84,2.82,97250.69,2206.33
88,2.89,99846.36,2502.62
92,2.99,102362.96,2462.37
96,3.08,104849.21,2595.92
100,3.16,107287.31,2865.35
