# data_id,Time(s),FLOP(M),memory(M)
4,0.38,15235.12,610.31
8,0.59,24826.85,807.34
12,0.79,32639.02,973.16
16,0.96,39419.43,1183.36
20,1.12,45482.56,1400.80
24,1.25,51029.60,1415.78
28,1.73,56174.27,1528.79
32,2.08,60987.72,1565.38
36,2.28,65532.52,1674.86
40,2.45,69836.14,1859.28
44,2.60,73948.09,2022.22
48,2.83,77892.39,1922.30
52,3.01,81655.68,1946.92
56,3.11,85287.61,2049.58
60,3.24,88788.29,2263.03
64,3.29,92181.87,2427.70
68,3.52,95464.10,2460.69
72,3.67,98658.50,2688.93
76,3.79,101754.08,2773.73
80,3.95,104782.10,2655.31
84,4.04,107737.01,2559.09
88,4.13,110616.97,2716.37
92,4.24,113431.85,2852.49
96,3.94,116199.48,2747.30
100,4.04,118901.11,2968.01
