# data_id,Time(s),FLOP(M),memory(M)
4,0.29,13820.87,564.97
8,0.52,22436.77,731.95
12,0.69,29546.04,817.98
16,0.87,35695.36,919.93
20,1.06,41143.60,1002.81
24,1.21,46168.44,1652.31
28,1.32,50822.69,1359.90
32,1.55,55144.25,1521.97
36,1.66,59216.01,1372.43
40,1.76,63086.20,1788.68
44,1.86,66794.20,1798.85
48,1.96,70372.69,1864.22
52,2.04,73774.64,1849.96
56,2.16,77043.15,1692.67
60,2.26,80203.22,2045.36
64,2.37,83266.20,2046.05
68,2.56,86221.15,1875.32
72,2.62,89099.35,2208.15
76,2.75,91891.19,2556.57
80,2.88,94590.79,2464.76
84,2.94,97250.69,2769.07
88,3.05,99846.36,2654.26
92,3.12,102362.96,2546.67
96,3.25,104849.21,2405.75
100,3.40,107287.31,2640.64
