# data_id,Time(s),FLOP(M),memory(M)
4,0.32,13820.87,538.53
8,0.51,22436.77,752.70
12,0.72,29546.04,846.50
16,0.88,35695.36,1458.25
20,1.01,41143.60,1307.81
24,1.17,46168.44,1197.62
28,1.31,50822.69,1283.98
32,1.44,55144.25,1365.11
36,1.57,59216.01,1511.52
40,1.69,63086.20,1654.19
44,2.25,66794.20,1776.40
48,2.30,70372.69,1918.58
52,2.26,73774.64,1626.04
56,2.67,77043.15,1744.06
60,2.74,80203.22,1767.81
64,2.83,83266.20,1916.06
68,3.08,86221.15,2565.60
72,3.22,89099.35,2679.03
76,3.35,91891.19,2193.20
80,3.40,94590.79,2497.21
84,3.53,97250.69,2159.54
88,3.66,99846.36,2300.36
92,3.80,102362.96,2651.22
96,3.81,104849.21,2769.50
100,3.85,107287.31,2659.82
