# data_id,Time(s),FLOP(M),memory(M)
4,0.42,15235.12,605.33
8,0.70,24826.85,802.18
12,0.99,32639.02,967.82
16,1.19,39419.43,1177.99
20,1.42,45482.56,1395.49
24,1.61,51029.60,1410.44
28,1.78,56174.27,1523.47
32,1.97,60987.72,1560.04
36,2.13,65532.52,1669.52
40,2.28,69836.14,1853.95
44,2.45,73948.09,2016.85
48,2.62,77892.39,1917.32
52,2.77,81655.68,1942.62
56,2.92,85287.61,2045.29
60,3.08,88788.29,2258.98
64,3.24,92181.87,2423.87
68,3.36,95464.10,2456.80
72,3.51,98658.50,2685.02
76,3.65,101754.08,2769.53
80,3.81,104782.10,2650.93
84,3.94,107737.01,2554.68
88,4.07,110616.97,2711.96
92,4.18,113431.85,2855.36
96,4.32,116199.48,2779.63
100,4.43,118901.11,3007.40
