# data_id,Time(s),FLOP(M),memory(M)
4,0.30,13820.87,537.92
8,0.50,22436.77,752.08
12,0.71,29546.04,845.99
16,0.90,35695.36,1457.48
20,1.02,41143.60,1307.37
24,1.18,46168.44,1197.16
28,1.30,50822.69,1283.50
32,1.46,55144.25,1364.64
36,1.60,59216.01,1511.09
40,1.67,63086.20,1653.72
44,1.80,66794.20,1775.90
48,1.95,70372.69,1917.96
52,2.06,73774.64,1625.52
56,2.26,77043.15,1743.55
60,2.33,80203.22,1767.33
64,2.42,83266.20,1915.55
68,2.52,86221.15,2565.13
72,2.60,89099.35,2678.60
76,2.71,91891.19,2192.85
80,2.77,94590.79,2496.92
84,2.93,97250.69,2159.19
88,3.06,99846.36,2300.02
92,3.13,102362.96,2667.18
96,3.18,104849.21,2788.45
100,3.29,107287.31,2678.73
