# data_id,Time(s),FLOP(M),memory(M)
5,0.63,20216.77,713.22
8,0.93,27899.00,902.55
11,1.18,34293.07,966.87
14,1.41,40172.59,1116.58
17,1.61,45725.73,1255.76
20,1.76,49331.61,1395.69
23,1.99,53700.05,1715.29
27,2.13,59162.64,1840.49
33,2.56,66281.33,1851.03
42,3.09,76129.63,1993.64
60,3.90,91446.77,2202.52
