# data_id,Time(s),FLOP(M),memory(M)
4,0.33,13820.87,567.78
8,0.57,22436.77,734.65
12,0.78,29546.04,820.72
16,0.95,35695.36,922.67
20,1.16,41143.60,1005.51
24,1.13,46168.44,1654.99
28,1.31,50822.69,1362.73
32,1.61,55144.25,1524.73
36,1.81,59216.01,1375.15
40,1.89,63086.20,1791.28
44,1.97,66794.20,1801.53
48,2.01,70372.69,1866.86
52,2.16,73774.64,1852.63
56,2.23,77043.15,1695.32
60,2.32,80203.22,2048.07
64,2.45,83266.20,2048.81
68,2.77,86221.15,1878.07
72,2.90,89099.35,2210.79
76,2.99,91891.19,2559.35
80,3.05,94590.79,2467.60
84,3.09,97250.69,2783.53
88,3.12,99846.36,2670.34
92,3.21,102362.96,2553.21
96,3.31,104849.21,2402.16
100,3.36,107287.31,2634.37
