# data_id,Time(s),FLOP(M),memory(M)
5,0.10,1753.85,281.23
8,0.15,2420.66,303.37
11,0.19,2975.48,336.92
14,0.23,3485.53,361.33
17,0.24,3967.17,394.51
20,0.26,4279.78,404.38
23,0.29,4658.47,426.98
27,0.33,5132.01,455.60
33,0.38,5749.15,496.93
42,0.46,6603.10,562.70
60,0.59,7931.81,669.56
