# data_id,Time(s),FLOP(M),memory(M)
4,2.44,3808.95,417.56
8,3.14,6207.09,551.94
12,3.39,8160.36,637.81
16,3.91,9855.73,823.32
20,4.21,11371.60,863.52
24,4.37,12758.91,940.92
28,4.77,14045.44,968.37
32,4.94,15249.20,1066.83
36,5.23,16385.82,1089.14
40,5.37,17462.18,1104.69
44,5.55,18490.66,1228.09
48,5.74,19477.25,1205.63
52,5.38,20418.61,1360.02
56,5.54,21327.17,1348.27
60,4.82,22202.94,1374.67
64,2.93,23051.96,1457.71
68,2.34,23873.18,1553.17
72,2.45,24672.46,1435.10
76,2.52,25447.07,1529.97
80,1.98,26204.81,1540.79
84,1.87,26944.30,1608.54
88,1.86,27665.08,1648.39
92,1.71,28369.61,1677.68
96,1.76,29062.36,1777.79
100,1.79,29738.63,1895.79
