# data_id,Time(s),FLOP(M),memory(M)
4,2.70,4330.83,459.23
8,3.05,6401.54,501.10
12,3.42,8582.24,690.22
16,3.88,10484.08,808.40
20,4.18,12017.62,817.93
24,4.47,13605.01,887.84
28,4.73,15180.79,983.17
32,5.00,16476.78,1039.11
37,5.29,17886.64,1114.95
41,5.51,18880.96,1142.70
45,4.39,19937.88,1191.24
50,4.29,21019.73,1266.38
55,4.21,22157.17,1345.22
60,3.82,23334.04,1348.77
63,3.49,23922.01,1481.34
69,2.42,25077.28,1508.63
75,1.79,26263.90,1576.08
81,1.83,27286.36,1716.88
87,1.72,28149.23,1654.33
92,1.73,28821.33,1669.96
97,1.77,29436.74,1644.27
