# data_id,Time(s),FLOP(M),memory(M)
4,5.67,3808.95,410.51
8,8.80,6207.09,504.42
12,9.66,8160.36,689.38
16,10.76,9855.73,879.74
20,11.61,11371.60,902.43
24,12.33,12758.91,903.48
28,11.82,14045.44,966.52
32,11.48,15249.20,1012.83
36,11.37,16385.82,1023.07
40,11.72,17462.18,1238.51
44,11.45,18490.66,1194.75
48,10.32,19477.25,1259.60
52,8.79,20418.61,1226.54
56,7.71,21327.17,1291.83
60,6.32,22202.94,1398.93
64,6.37,23051.96,1452.85
68,6.14,23873.18,1430.49
72,6.04,24672.46,1558.55
76,4.24,25447.07,1540.94
80,3.87,26204.81,1774.68
84,2.22,26944.30,1607.73
88,1.91,27665.08,1616.13
92,1.72,28369.61,1647.69
96,1.75,29062.36,1767.85
100,1.80,29738.63,1762.02
