# data_id,k_KNN,IOU(%)
5,1,13.83
8,1,23.82
11,1,35.24
14,1,46.29
17,1,53.77
20,1,56.63
23,1,59.60
27,1,61.89
33,1,64.18
42,1,66.52
60,1,68.67
