# data_id,Time(s),FLOP(M),memory(M)
4,6.35,4330.83,404.65
8,7.30,6401.54,508.36
12,8.03,8582.24,652.37
16,8.56,10484.08,731.71
20,9.15,12017.62,801.09
24,9.95,13605.01,983.69
28,10.23,15180.79,1010.58
32,10.73,16476.78,1403.48
37,10.49,17886.64,1173.27
41,9.76,18880.96,1252.59
45,9.32,19937.88,1226.67
50,7.73,21019.73,1266.73
55,7.01,22157.17,1288.99
60,6.54,23334.04,1373.88
63,5.50,23922.01,1571.36
69,4.40,25077.28,1530.82
75,4.37,26263.90,1567.44
81,2.27,27286.36,1861.91
87,1.95,28149.23,1728.91
92,1.98,28821.33,1791.23
97,2.06,29436.74,1735.71
