# data_id,Time(s),FLOP(M),memory(M)
4,7.33,4330.83,423.46
8,8.86,6401.54,503.56
12,9.85,8582.24,626.79
16,10.86,10484.08,719.31
20,11.82,12017.62,818.09
24,12.09,13605.01,888.04
28,11.67,15180.79,1031.79
32,11.31,16476.78,1063.08
37,11.54,17886.64,1087.47
41,11.98,18880.96,1183.42
45,11.34,19937.88,1299.99
50,9.83,21019.73,1917.38
55,8.66,22157.17,1367.68
60,7.52,23334.04,1403.59
63,6.64,23922.01,1396.96
69,6.49,25077.28,1473.35
75,6.57,26263.90,1476.56
81,5.42,27286.36,1606.23
87,4.23,28149.23,1612.00
92,2.95,28821.33,1626.84
97,2.05,29436.74,1784.17
