# data_id,Time(s),FLOP(M),memory(M)
4,2.67,4330.83,413.99
8,2.98,6401.54,533.29
12,3.50,8582.24,676.66
16,3.98,10484.08,689.33
20,4.28,12017.62,806.12
24,4.55,13605.01,872.52
28,4.91,15180.79,1000.88
32,5.01,16476.78,1074.06
37,5.26,17886.64,1092.15
41,4.93,18880.96,1307.48
45,4.14,19937.88,1232.18
50,4.33,21019.73,1279.58
55,3.55,22157.17,1353.52
60,2.99,23334.04,1490.62
63,2.33,23922.01,1436.23
69,2.50,25077.28,1461.79
75,2.52,26263.90,1589.80
81,2.26,27286.36,1532.56
87,1.95,28149.23,1637.13
92,1.87,28821.33,1676.44
97,1.80,29436.74,1653.32
